변수,범주 수,χ²,df,p-value,유의도
안전조직수준,2,1.538,1,0.2149,
위원회수준,2,2.047,1,0.1525,
인증보유,2,1.04,1,0.3078,
전문지도,2,0.079,1,0.7783,
고용노동부감독,2,41.05,1,0.0,***
안전보건공단지원,2,23.261,1,0.0,***
공사규모,3,35.776,2,0.0,***
발주처,3,21.68,2,0.0,***
기성공정률,6,105.819,5,0.0,***
공사종류,7,52.407,6,0.0,***
