순위,변수,mean|SHAP|
1,기성공정률_1,0.07473
2,공사규모_1,0.0454
3,안전보건공단지원,0.04506
4,기성공정률_2,0.04062
5,고용노동부감독,0.03615
6,발주처_1,0.03363
7,외국인비율,0.03244
8,공사종류_6,0.0205
9,정리정돈상태,0.01829
10,위원회수준,0.01712
11,교육훈련도움,0.0153
12,공사종류_5,0.01283
13,기성공정률_5,0.0092
14,발주처_3,0.0084
15,인증보유,0.00668
16,공사종류_1,0.00651
17,작업중지권,0.00574
18,작업반장기여,0.00569
19,전문지도,0.00548
20,공사종류_4,0.00496
21,공사규모_3,0.0039
22,기성공정률_6,0.00379
23,위험성평가수준,0.00342
24,공사종류_3,0.00327
25,기성공정률_4,0.00239
26,공사종류_2,0.00061
27,안전조직수준,0.00042
