,전문지도,고용노동부감독,안전보건공단지원
안전조직수준,6.311550484050329e-05,8.091718159129853e-05,0.00013111419365143865
위원회수준,0.00034516143337656974,0.0020562634477146735,0.0018821516738863776
인증보유,0.00015863184995749139,0.0014101017459003896,0.0009312736604129236
위험성평가수준,0.00016841227001459169,0.0011500182925052447,0.0008566779113148606
교육훈련도움,0.00048031548632105047,0.000709227419464732,0.0012365741479868732
정리정돈상태,0.0005629308798699751,0.0016440811358080587,0.0012164802412567592
작업중지권,0.0003395972096583609,0.0006481930971005307,0.0005484342213407195
작업반장기여,0.0004782861060008861,0.0007457820248079558,0.0006991177119172776
